AID	CLUSTER2	GSWGT1
57100270	1.78	447.87
57101310	1.08	2527.24
57103171	1.15	3400.52
57103869	1.67	5821.84
57104553	1.42	2814.75
57104649	2.78	571.07
57104676	2.78	1928.27
57109625	2.24	6268.13
57110897	2.56	2464.28
57111071	1.85	3048.35
57111786	1.54	2927.69
57113943	1.67	6146.07
57116359	1.36	2268.43
57117542	1.51	5714.68
57117997	2.78	684.79
57118381	2.94	5576.55
57118943	1.87	3684.57
57120005	2.74	4469.22
57120046	1.11	1045.16
57120371	1.61	5809.06
57121404	1.87	3684.57
57121476	2.86	4365.64
57123494	1.41	1559.65
57127241	1.79	2059.82
57129567	2.28	436.33
57130633	2.54	5113.74
57130838	1.4	3949.32
57131432	1.45	3846.46
57131909	1.08	2979.58
57133772	2.48	4389.37
57134457	2.4	3101.23
57134967	2.67	2937.03
57134970	2.53	3410.26
57135078	1.09	2000.42
57136630	1.79	1666.94
57138056	2.4	4519.55
57139880	2.28	4094.34
57141051	1.72	4704.41
57141800	2.78	3664.07
57141919	2.78	3664.07
57144659	1.65	3195.6
57145151	1.29	1096.11
57145199	2.65	18383.29
57145731	1.53	2572.87
57146734	2.71	4096.13
57153160	1.61	7692.34
57154247	1.41	1617.63
57154249	1.41	1743.07
57154779	2.67	2937.03
57155472	1.09	2699.05
57157723	2.43	5230.31
57159779	2.78	4498.58
57159952	1.87	3684.57
57160648	1.68	4308.67
57163116	1.08	2375.17
57163657	2.5	5340.14
57164981	1.79	1775.13
57165081	1.79	1962.69
57165288	1.94	4937.68
57165348	1.87	5444.84
57166019	2.1	12009.6
57166450	2.78	870.03
57166463	2.78	571.07
57167951	1.14	4002.16
57169110	1.08	2139.87
57171515	2.4	2225.84
57177419	2.4	4519.55
57177942	1.89	1991.93
57178110	1.08	2979.58
57178982	2.87	815.52
57179591	1.89	2196.12
57185559	1.54	5625.23
57186150	1.87	3684.57
57186582	1.41	1635.11
57188247	2.51	1044.76
57188313	1.36	2063.16
57191424	2.48	4400.12
57191909	1.08	3388.22
