AID	CLUSTER2	GSWGT3_2	GSWGT3
57100270	1.78	720	 
57101310	1.08	3322.53	3664.96
57103869	1.67	8758.87	11260.93
57104676	2.78	2931.48	3282.8
57109625	2.24	8063.93	8527.46
57111071	1.85	3921.69	4147.12
57111786	1.54	4503.71	4865.52
57113943	1.67	9454.58	10214.13
57117542	1.51	7716.48	 
57117997	2.78	788.89	854.75
57118381	2.94	6448.63	6967.03
57118943	1.87	4833.98	5194.97
57120005	2.74	6069.35	6613.53
57120046	1.11	1426.7	1562.62
57120371	1.61	7829.71	 
57121404	1.87	4833.98	5194.97
57121476	2.86	5435.39	5813.73
57123494	1.41	2046.19	2198.99
57127241	1.79	2381.94	2573.42
57129567	2.28	663.34	742.84
57131432	1.45	5400.61	5820.11
57131909	1.08	4046.36	4409.16
57133772	2.48	5075.79	5483.83
57134967	2.67	3383.51	3665.98
57134970	2.53	3936.45	4504.2
57135078	1.09	2490.6	2663.96
57136630	1.79	2198.35	2293.96
57138056	2.4	6102.71	6506.03
57139880	2.28	5560.24	6058.78
57141051	1.72	6352.32	7249.98
57141800	2.78	4237.07	 
57141919	2.78	4237.07	 
57145151	1.29	1445.54	1508.41
57146734	2.71	5562.67	6061.43
57153160	1.61	11564.24	15094.45
57154247	1.41	2208.16	2418.52
57154249	1.41	2349.38	2425.58
57154779	2.67	3383.51	3665.98
57157723	2.43	6728.77	 
57159952	1.87	4833.98	5194.97
57160648	1.68	5881.62	6441.92
57164981	1.79	2283.7	2414.98
57165081	1.79	2650.2	3024.7
57166450	2.78	1338.37	1445.89
57166463	2.78	868.18	972.22
57167951	1.14	5148.76	5444.72
57177419	2.4	5814.38	6148.61
57177942	1.89	2796.77	3014.01
57178110	1.08	4046.36	4409.16
57178982	2.87	1254.52	 
57179591	1.89	2734.25	2924.58
57186150	1.87	4833.98	5194.97
57186582	1.41	2295.77	2474.09
57191424	2.48	5660.74	5986.13
57191909	1.08	4302.23	4742.02
57192841	1.87	5490.92	5729.73
57193349	1.42	4162.01	4657.24
57196641	1.45	4578.44	5014.6
57199320	1.93	1188.63	1330.07
57199896	2.53	5163.51	 
57200870	1.72	6598.17	 
57201771	1.54	8261.16	 
57203993	1.72	6352.32	7249.98
57210612	1.78	429.21	466.29
57211108	1.08	3004.48	3237.86
57211375	1.87	5490.92	5729.73
57212347	1.65	9285.41	10521.03
57212679	1.87	5950.14	 
57213037	1.72	7286	 
57213527	1.77	3907.84	4217.73
57214806	1.65	2859.31	3151.6
57214893	1.67	1552.79	1641.84
57217465	1.86	6689.27	6980.19
57217613	2.1	16309.41	17771.73
57218874	1.07	4274.8	4618.22
57220133	1.68	7446.29	 
57220955	1.87	4833.98	5194.97
57228523	1.67	3811.52	4202.06
57230940	2.73	8236.24	8974.72
57231300	1.87	4450.85	4905.83
57231603	1.79	2023.07	2180.21
57232895	1.45	4578.44	5014.6
57233403	1.74	3960.71	4338.02
57234514	1.08	4302.23	4742.02
57235039	1.15	5303.34	5475.34
57239363	1.15	4984.02	5688.32
57239974	2.15	4226.66	4520.87
57241075	1.09	2490.6	2663.96
57242812	1.2	4839.29	5228.06
57242885	1.08	4302.23	4742.02
57244606	1.67	3778.13	4167.52
57245293	2.4	4647	4885.21
57245315	1.23	1610.97	 
57245379	1.5	5979.36	6425.89
57248884	1.15	4882.98	5382.14
57249576	1.15	3977.48	4274.52
